query_raw,ref_answer
"Context: see  mciver, 134 n.c.app. at 588, 518 s.e.2d at 526.
Question: Is it overruling?
Answer:",No
"Context: see zannino, 895 f.2d at 17.
Question: Is it overruling?
Answer:",No
"Context: accordingly, we approve the decision of the district court below and disapprove those of the courts in chessler, mitchell, and williams, to the extent that they conflict with this ruling.
Question: Is it overruling?
Answer:",Yes
"Context: indeed, this court has recognized that a party may make allegations on information and belief in the fraud context when """"(1) the facts constituting the fraud are not accessible to the plaintiff and (2) the plaintiff provides the grounds for his suspicions.""""
Question: Is it overruling?
Answer:",No
"Context: accordingly, we overrule davis insofar as it holds that the prosecution can never meet its burden of proving a valid waiver of miranda rights if it fails, without explanation, to call as corroborating witnesses all officers who witnessed the defendant's interrogation.
Question: Is it overruling?
Answer:",Yes
"Context: we hold that indiana code section 32-24-1-13(a) exempts the transportation department from any such requirement, thereby over-ruling decker v. state.
Question: Is it overruling?
Answer:",Yes
"Context: our review of this appeal reveals a jurisdictional defect.
Question: Is it overruling?
Answer:",No
"Context: texas defines """"bodily injury"""" as """"physical pain, illness, or any impairment of physical condition.""""
Question: Is it overruling?
Answer:",No
"Context: state v. brown (1988), 38 ohio st.3d 305, 308.' * * * state v. coley (2001), 93 ohio st.3d 253, 261."""" state v. griffiths, 11th dist. trumbull no. 2000-t-0131, 2002 wl 5307, *2 (dec. 28, 2001).
Question: Is it overruling?
Answer:",No
"Context: concluding that the outcome of this appeal with respect to attorney fees turns on our precedent in devine v. national treasury employees union, 805 f.2d 384 (fed. cir. 1986), and goodrich v. department of the navy, 733 f.2d 1578 (fed. cir. 1984), we decided to rehear the appeal en banc so that we could consider the following question:
Question: Is it overruling?
Answer:",Yes
"Context: accordingly, from this time forward, the holdings in asher, blair and durham, to the extent they conflict with this opinion, should no longer be followed.
Question: Is it overruling?
Answer:",Yes
"Context: insofar as mccurter v. older, supra, 173 cal.app.3d 582, 594, and employers casualty co. v. northwestern nat. ins. group, supra, 109 cal.app.3d 462, 474, can be read to hold that a party who fails to bring to the attention of the trial court an omission or ambiguity in its statement of decision may nevertheless avoid the presumptions in favor of the judgment, they are disapproved.
Question: Is it overruling?
Answer:",Yes
"Context: see ennis v. state, 122   nev. 694, 706, 137 p.3d 1095, 1103 (2006), the district court therefore did not err in denying this claim.
Question: Is it overruling?
Answer:",No
"Context: zhong v. u.s. dep't of justice, 480 f.3d at 107, 120.
Question: Is it overruling?
Answer:",No
"Context: we recede from prior opinions inconsistent with this holding.
Question: Is it overruling?
Answer:",Yes
"Context: after carefully weighing considerations of stare decisis against the persuasive criticisms of the dupuy rule, we conclude that this artificial and potentially harmful rule must be abandoned.
Question: Is it overruling?
Answer:",Yes
"Context: accordingly, we approve the decision below and disapprove saunders, ansel and employee benefit claims to the extent that they authorize relief pursuant to rule 1.540 when a judgment for damages is entered non-jury after a jury trial was demanded and not waived but the parties were given notice of the proceedings.
Question: Is it overruling?
Answer:",Yes
"Context: to the extent hays v. arave, 977 f.2d 475 (9th cir. 1992), on which the panel relied in reaching the opposite conclusion, is inconsistent with our analysis, it is hereby overruled.
Question: Is it overruling?
Answer:",Yes
"Context: on july 10, 2014, the state charged martin by amended information with one count of sale of cocaine within 1,000 feet of a public park or a publicly owned recreational facility and one count of unlawful use of a two-way communication device. martin proceeded to trial and was found guilty as charged.
Question: Is it overruling?
Answer:",No
"Context: ""catalyst theory,"" allowing that result, is no longer available for that purpose, see farrar, ___ u.s. at ___, 113 s.ct. at 573-74, and cases such as bonnes v. long, 599 f.2d 1316 (4th cir. 1979), which applied that theory, are overruled.
Question: Is it overruling?
Answer:",Yes
"Context: because hummel, the conflict case, involved a motion filed under rule 3.800(a), we disapproved the first district's decision only ""to the extent it [wa]s inconsistent with"" anderson.
Question: Is it overruling?
Answer:",Yes
"Context: therefore, we are compelled to overrule blanton, in which the issues were similar to those in the case at bar, on the strength of the supreme court cases of green v. united states and benton v. maryland.
Question: Is it overruling?
Answer:",Yes
"Context: as the comments to the nca suggest, this approach to calculating deficiencies is """"the more equitable approach"""" that properly balances the concerns of creditors left with large unpaid   balances when a consumer defaults after purchase and the interest in shielding consumers from unnecessary or unnecessarily inflated deficiency claims.
Question: Is it overruling?
Answer:",No
"Context: musser davis land co. v union pac. res., 201 f.3d 561, 563, (5th cir. 2000) (citing exxon corp. v. crosby-miss res., ltd., 154 f.3d 202, 205 (5th cir. 1998)).
Question: Is it overruling?
Answer:",No
"Context: we recede from fernandez v. state
Question: Is it overruling?
Answer:",Yes
"Context:  id.  2679(d)(5).
Question: Is it overruling?
Answer:",No
"Context: we disapprove orange county v. sealy to the extent that it conflicts with this decision.
Question: Is it overruling?
Answer:",Yes
"Context: austero v. national cas. co. (1978) 84 cal.app.3d 1, 24-25 [ 148 cal.rptr. 653], is disapproved.
Question: Is it overruling?
Answer:",Yes
"Context: youngkin v. hines, 546 s.w.3d 675, 680 (tex. 2018).
Question: Is it overruling?
Answer:",No
"Context: see allred v. exceptional landscapes, inc., 227 n.c. app. 229, 232, 743 s.e.2d 48, 51 (2013) (""""unchallenged findings of fact are presumed to be supported by competent evidence and are binding on appeal."""" (citation omitted)).
Question: Is it overruling?
Answer:",No
"Context: if the defendant is seeking to vacate a sentence, the second prong requires that the newly discovered evidence would probably yield a less severe sentence.
Question: Is it overruling?
Answer:",No
"Context: the second cause of action asserted that the liquidated damages clause of the leases was void as a penalty banned by civil code section 1671, or, in the alternative, should be construed as authorizing termination of the lease prior to its expiration.
Question: Is it overruling?
Answer:",No
"Context: on the contrary, what impresses me is the obduracy of high-minded state courts, like that of new york under the leadership of judge cardozo, in refusing to adopt the federal rule of exclusion.
Question: Is it overruling?
Answer:",No
"Context: section 3553(c) and this court's cases make clear that a sentencing court cannot merely take into account the  3553(a) factors and the defendant's arguments related thereto.
Question: Is it overruling?
Answer:",No
"Context: of course, lucas and garcia, dealing with mandatory minimum sentences, are likewise overruled to the extent they conflict with harris and this opinion.
Question: Is it overruling?
Answer:",Yes
"Context: green v. state, 934 s.w.2d 92, 102 (tex. crim. app. 1996) (internal quotations omitted).
Question: Is it overruling?
Answer:",No
"Context: to the extent that fiscal court of jefferson county v. ogden, ky.app. 556 s.w.2d 899 (1977) conflicts with the opinion in this case, it is overruled.
Question: Is it overruling?
Answer:",Yes
"Context: see vardaman, 711 so.2d at 732-733.
Question: Is it overruling?
Answer:",No
"Context: if the defendant is a natural person at least 18 years of age or emancipated by court order, by:
Question: Is it overruling?
Answer:",No
"Context: specifically, the state argued the construct distorted the meaning of ""proof beyond a reasonable doubt,"" and continued the distinction between direct and circumstantial evidence which we disavowed in hankins v. state.
Question: Is it overruling?
Answer:",Yes
"Context: those decisions are overruled,
Question: Is it overruling?
Answer:",Yes
"Context: see id. like in any proximate cause analysis, an intervening event may break the chain of causation between the allegedly wrongful act and the plaintiff's injury.
Question: Is it overruling?
Answer:",No
"Context: unpublished presque isle circuit court family divisionlc no. 15-084025-ds after remand before: m. j. kelly, p.j., and ronayne krause and boonstra, jj. per curiam.
Question: Is it overruling?
Answer:",No
"Context: id., 43. similar to our review of a suppression motion, we uphold the circuit court's findings of historical fact unless clearly erroneous, then independently apply constitutional principles to those facts.
Question: Is it overruling?
Answer:",No
"Context: this court overrules its holding in red to the extent that decision may be construed as authority for the proposition that exempt income should be excluded from disposable income regardless of whether the time limitation of  1325(b)(1)(b) or the provisions of  1325(b)(2) apply.
Question: Is it overruling?
Answer:",Yes
"Context: there is a rational connection between its impoundments of prison legal news based on the magazine's ad content and prison security and public safety interests.
Question: Is it overruling?
Answer:",No
"Context: """" gratz v. bollinger, 539 u.s. 244, 270, 123 s.ct. 2411, 156 l.ed.2d 257 (2003) (quoting adarand constructors, inc. v. pe, 515 u.s. 200, 224, 115 s.ct. 2097, 132 l.ed.2d 158 (1995) ); see also miller, supra, at 904, 115 s.ct. 2475 (""""this rule obtains with equal force regardless of the race of those burdened or benefited by a particular classification """" (quoting croson, supra, at 494, 109 s.ct. 706 (plurality opinion of o'connor, j.))). """"thus, any person, of whatever race, has the right to demand that any governmental actor subject to the constitution justify any racial classification subjecting that person to unequal treatment under the strictest of judicial scrutiny.
Question: Is it overruling?
Answer:",No
"Context: we therefore disapprove of baird and rotello to the extent that they hold otherwise.
Question: Is it overruling?
Answer:",Yes
"Context: a majority of the active judges of this court have voted to dissolve the en banc court.
Question: Is it overruling?
Answer:",No
"Context: we see no abuse of discretion, and we therefore affirm the admission of dr. parran's expert testimony.
Question: Is it overruling?
Answer:",No
"Context: as the court explained, the state has the """" 'duty . . . to protect the people's common heritage of streams, lakes, marshlands and tidelands, surrendering that right of protection only in rare cases when the abandonment of that right is consistent with the purposes of the trust.'
Question: Is it overruling?
Answer:",No
"Context: to the extent that stalvey, 25 fla. l. weekly at d961, hoffman, 745 so.2d at 987, siddal, 728 so.2d at 364, whiting, 711 so.2d at 1214, andharrell, 691 so.2d at 46, held that as a matter of law a trial court is precluded from considering the applicability of section 921.0016(4)(f) to crimes involving sexual conduct with minors, we disapprove those decisions.
Question: Is it overruling?
Answer:",Yes
"Context: sept. 21, 2010).
Question: Is it overruling?
Answer:",No
"Context: this decision will be consistent with quenzer in general, although a somewhat different factual situation on jurisdiction was presented and expressly supersedes rosics in regard to the unmentioned pkpa-defined retained decree state jurisdiction.
Question: Is it overruling?
Answer:",Yes
"Context: donnelly's claims""""negligence, careless conduct and wrongful tortious conduct""""are all causes of action that sound in tort.
Question: Is it overruling?
Answer:",No
"Context: wife received from husband on august 28, 2014, as the buyout amount based upon their then-current equity in the family residence.
Question: Is it overruling?
Answer:",No
"Context: compare united states v. ibarra-galindo, 206 f. 3d 1337 (ca9 2000) (in sentencing case, state-law felony is an aggravated felony); united states v. pornes-garcia, 171 f. 3d 142 (ca2 1999) (same), with cazarezgutierrez v. ashcroft, 382 f. 3d 905 (ca9 2004) (in immigration case, state-law felony is not an aggravated felony); aguirre v. ins.
Question: Is it overruling?
Answer:",Yes
"Context: furthermore, the board found """"compelling"""" mallinckrodt's argument based on secondary considerations, namely that """"if it were obvious to a person of ordinary skill in the art to exclude children with lvd from treatment with [nitric oxide], the experts in the field who designed the [inot22] study would have excluded those children from the original protocol.""""
Question: Is it overruling?
Answer:",No
"Context: the following is a partial listing of the cases which are overruled insofar as they hold an expert witness cannot testify as to bodily position at the time of a homicide:
Question: Is it overruling?
Answer:",Yes
"Context: state v. stephen j. r., 309 conn. 586, 605-606, 72 a.3d 379 (2013); see also state v. ciullo, 314 conn. 28, 56, 100 a.3d 779 (2014); state v. campbell, 141 conn. app. 55, 63, 60 a.3d 967, cert. denied, 308 conn. 933, 64 a.3d 331 (2013).
Question: Is it overruling?
Answer:",No
"Context: in so far as texas n. o. r. co. v. pool, tex.civ.app., 263 s.w.2d 582, no writ history, may be in conflict with what is here said, it is disapproved.
Question: Is it overruling?
Answer:",Yes
"Context: we disagree that these considerations establish an injury in fact to the tippinses, i.e., a concrete and particularized injury that is actual or imminent and not merely hypothetical.
Question: Is it overruling?
Answer:",No
"Context: nonetheless, we must recede from williams v. state, 427 so.2d 768 (fla. 2d dca 1983), and matthews v. state, 584 so.2d 1105 (fla. 2d dca 1991), to the extent that these opinions engraft a ""fair trial"" standard upon the faretta test, and we disapprove steps four through six of the faretta inquiry in jones v. state, 658 so.2d 122 (fla. 2d dca 1995) (altenbernd, j., specially concurring), which relied upon williams and matthews.
Question: Is it overruling?
Answer:",Yes
"Context: the court noted at the outset that the guarantees of that constitutional provisionfreedom from discrimination in housing and employmenthad been legislatively implemented through the illinois human rights act.
Question: Is it overruling?
Answer:",No
"Context: id. at 133.
Question: Is it overruling?
Answer:",No
"Context: in that regard, the legislature expressly declared: ""it is the intent of this legislation to provide that all objections to the form and substance of the moving and opposing papers shall be first made in the trial court and not on appeal by the parties or by the appellate court and to expressly overrule the rules stated in witchell v. dekorne [(1986)] 179 [cal.app.3d] 965 [ 225 cal.rptr. 176] and zuckerman v. pacific savings bank.
Question: Is it overruling?
Answer:",Yes
"Context: appellant appeals.
Question: Is it overruling?
Answer:",No
"Context: for these reasons, we overrule hoiles to the extent it stated that ""the engineer's work [on the bay view terrace map] . . . obliterated"" lots 21, 22, 23, and 25, and held that lots 21, 22, 23, and 25 were dedicated to the public as a beach.
Question: Is it overruling?
Answer:",Yes
"Context: we hereby disapprove of merendino v. burrell, 923 s.w.2d 258, 261 (tex. app.  beaumont 1996, writ denied), and miller v. cozart, 394 s.w.2d 22, 24 (tex.civ.app.  dallas 1965, no writ), to the extent that they hold that a person who owns or is otherwise responsible for horses has a duty to prevent the horses from roaming onto a farm-to-market road that is free from a local stock law.
Question: Is it overruling?
Answer:",Yes
"Context: therefore, we reverse the decision of the commonwealth court and remand to that court for further proceedings in this matter not inconsistent with this opinion.
Question: Is it overruling?
Answer:",Yes
"Context: our review is therefore limited at most to whether any errors caused a substantial risk of a miscarriage of justice.
Question: Is it overruling?
Answer:",No
"Context: but to the extent the court of appeal's implication might be read to suggest that the magistrate's failure cannot deny a defendant a substantial right affecting the legality of the commitment even when the failure is prejudicial as well as erroneous, the appellate court's opinion is unsound under the analysis set out above and is hereby disapproved.
Question: Is it overruling?
Answer:",Yes
"Context: mcl 450.1209(1)(c)(ii).
Question: Is it overruling?
Answer:",No
"Context: we overrule seales and its progeny to the extent that they allow admission of testimonial statements when found to be reliable under the ""indicia of reliability"" test in the absence of cross-examination.
Question: Is it overruling?
Answer:",Yes
"Context: for these reasons, we overrule the language of people v. mcgee, supra, 1 cal.2d 611, and its progeny, to the extent it suggests a court lacks fundamental subject matter jurisdiction over a time-barred criminal action.
Question: Is it overruling?
Answer:",Yes
"Context: to the extent treadwell, supra at 742743, 684 s.e.2d 244 and wilkes v. state, 293 ga.app. 724, 726(2), 667 s.e.2d 705 (2008) can be interpreted to hold otherwise, they are overruled.
Question: Is it overruling?
Answer:",Yes
"Context: finally, to the extent that schenck holds that there is no fiduciary duty on the part of the introducing broker in circumstances similar to those presented in the case at bar, we reject the holding.
Question: Is it overruling?
Answer:",Yes
"Context: in so finding, we disapprove our earlier decision, in the interest of c.g., 261 ga.app. 814, 815, 584 s.e.2d 33 (2003), to the extent that it deems testimony describing nonverbal conduct depicted on a surveillance videotape to be hearsay.
Question: Is it overruling?
Answer:",Yes
"Context: all prior holdings to the contrary on this point are overruled, including the two roselle opinions, supra.
Question: Is it overruling?
Answer:",Yes
"Context: we continue to believe that these cases properly state the law of the authority of a judge pro tempore to continue to rule on matters following expiration of his or her appointment and so disapprove those recent decisions of the court of appeals to the contrary:
Question: Is it overruling?
Answer:",Yes
"Context: first, a.p.'s prior statements were admitted as evidence of the material fact that appellant committed the charged offenses.
Question: Is it overruling?
Answer:",No
"Context: we also overrule that portion of berry v. mclemore, 670 f.2d 30, 34 (5th cir. 1982), in which we relied on jones to find an abuse of discretion in the district court's failure to assess as an item of costs the full fee of an expert witness who was ""important"" to the plaintiff's  1983 case.
Question: Is it overruling?
Answer:",Yes
"Context: 569 u.s., at   , 133 s.ct., at 1576(dissenting opinion).
Question: Is it overruling?
Answer:",No
"Context: it is rare that a sentence is so grossly disproportionate to the crime as to meet the threshold inquiry.
Question: Is it overruling?
Answer:",No
"Context: these factors distinguish the case from the strawn and atkinson cases, supra, relied upon by plaintiff, and insofar as the duley case, supra, conflicts with the instant ruling on cause and effect it is no longer to be followed.
Question: Is it overruling?
Answer:",Yes
"Context: ct. app. 1992), and state ex rel. department of pub. safety v. 1989 ford probe, vin # 1zvbt21c3k5182641, ok tag # icw579, 854 p.2d 386 (okla.
Question: Is it overruling?
Answer:",Yes
"Context: hope was not required to file a claim for new injury under code  65.2-601.
Question: Is it overruling?
Answer:",No
"Context: id. at 259-60.
Question: Is it overruling?
Answer:",No
"Context: upon further consideration of our holding in carter oil co. v. samuels, supra, we now conclude that carter should be overruled, and that payment and acceptance of delay rental under the terms of the lease does not in and of itself constitute a waiver of an implied covenant on the part of the lessee to protect the lessor from drainage.
Question: Is it overruling?
Answer:",Yes
"Context: in the hrs get chapter, hrs  237-22 provides that payments for sales, gross receipts, or use taxes paid out of state will be offset.
Question: Is it overruling?
Answer:",No
"Context: on appeal, the government argues that: """"[t]he specification contains a detailed description of a best mode embodiment of the invention with every reference to power being expressed in the [i]mperial units of 'horsepower' or 'hp,'"""" cross-appellant's br. 55 (footnote omitted); see '032 patent col.
Question: Is it overruling?
Answer:",No
"Context: insofar as this court's decision in lamb v. page, 482 p.2d 615 (okla.
Question: Is it overruling?
Answer:",Yes
"Context: to that extent chetkovich v. united states must be overruled.
Question: Is it overruling?
Answer:",Yes
"Context: with this ruling, the court necessarily abandons as unworkable the overly complex standards employed in cases such as cline and adkins.
Question: Is it overruling?
Answer:",Yes
"Context: the jury could have disbelieved such evidence, but it was not subject to   multiple interpretations.
Question: Is it overruling?
Answer:",No
"Context: to the extent that the holding in wilson v. bureau of state police, supra, conflicts with this opinion, it is overruled.
Question: Is it overruling?
Answer:",Yes
"Context: for this reason, we hold that kikumura is no longer valid as long as the guidelines are advisory.
Question: Is it overruling?
Answer:",Yes
"Context: (loeffler, supra, 58 cal.4th at p. 1129.)
Question: Is it overruling?
Answer:",No
"Context: r., 254 s.w.2d 394 (1953) and other cases are in conflict with our holding today, they are overruled.""
Question: Is it overruling?
Answer:",Yes
"Context: ##note: yamaha corp. v. state bd. of equalization is the current case that is being dealt with therefore it is not being overruled.
Question: Is it overruling?
Answer:",Yes
"Context: we also overrule our prior decisions adopting the corpus delicti rule.
Question: Is it overruling?
Answer:",Yes
"Context: in so holding, we approve the second district's decision in thompson and disapprove the third district's decision in higgs.
Question: Is it overruling?
Answer:",Yes
"Context: it argued that it had made timely assessments and that those assessments were presumptively correct.
Question: Is it overruling?
Answer:",No
"Context: to the extent that the decision in wilson v. united states, 669 f.supp. 563 (e.d.n.y. 1987), is inconsistent with our holding here, we overrule it.
Question: Is it overruling?
Answer:",Yes
"Context: johnson testified at trial that the man holding the gun was one of the two men wearing a blue sweater.
Question: Is it overruling?
Answer:",No
"Context: people v. laiwa is not overruled (same line of cases).
Question: Is it overruling?
Answer:",Yes
"Context: because it needed only to """"briefly set forth"""" the draft permit's factual and theoretical underpinnings, see 40 c.f.r.  124.8(a), the fact sheet's comparative brevity cannot alone be indicative of any illegitimate additions to the response to comments.
Question: Is it overruling?
Answer:",No
"Context: we disapprove of statements in two opinions of this court that the limitations for sexual assault of a child is five years.
Question: Is it overruling?
Answer:",Yes
"Context: based on the foregoing reasoning, we approve the second district's holding in c.e.l. and disapprove of the third district's opinion in d.t.b.
Question: Is it overruling?
Answer:",Yes
"Context: thus, the statements in these older cases merely reflected the prevailing law at the time, a rule abrogated by the present version of section 634
Question: Is it overruling?
Answer:",Yes
"Context: as we have previously observed, rule 21 is not designed to swap in new plaintiffs for the sake of securing a judicial determination on the merits where the original plaintiffs no longer have a stake in the outcome.
Question: Is it overruling?
Answer:",No
"Context: to the extent it is inconsistent with our opinion in the present case, we disapprove the court's decision in in re phelon.
Question: Is it overruling?
Answer:",Yes
"Context: we conclude that the reasons for overruling plair and its progeny are sufficiently weighty.
Question: Is it overruling?
Answer:",Yes
"Context: for the reasons explained here, our decision in echols is overruled, and riley's conviction and sentence are affirmed.
Question: Is it overruling?
Answer:",Yes
"Context: for that reason, insofar as berry v. struble, supra, 20 cal.app.2d 299, holds that even apart from the application of section 1542 the release cannot be avoided, it and the cases following it on this point are disapproved.
Question: Is it overruling?
Answer:",Yes
"Context: 32 for a time we articulated a standard formulation of waiver that did not mention any requirement of proof of prejudice.
Question: Is it overruling?
Answer:",No
"Context: see bentley v. bunton, 94 s.w.3d 561, 581 (tex. 2002); see also isaacks, 146 s.w.3d at 156-57.
Question: Is it overruling?
Answer:",No
"Context: id.  4 cmt.
Question: Is it overruling?
Answer:",No
"Context: accordingly, we recede from that portion ofhenderson which conflicts with our ruling here, affirm washington's convictions, and certify conflict withcrawford.
Question: Is it overruling?
Answer:",Yes
"Context: to the extent that it holds otherwise, delia s. v. torres (1982) 134 cal.app.3d 471, 483-484 [ 184 cal.rptr. 787], is disapproved.
Question: Is it overruling?
Answer:",Yes
"Context: those remaining charges proceeded to trial on march 28, 2008, in philadelphia municipal court.
Question: Is it overruling?
Answer:",No
"Context: moreover, insofar as they suggest that a party seeking a modification of a custody order must prove an overwhelming necessity for the change in custody, we hereby overrule ex parte martin and ex parte peppers.
Question: Is it overruling?
Answer:",Yes
"Context: state v. jefferson, supra; state v. williams, supra and state v. beard, supra, are therefore overruled to the extent that they are in conflict with this opinion.
Question: Is it overruling?
Answer:",Yes
"Context: 2011) (quotation omitted).
Question: Is it overruling?
Answer:",No
"Context: to the extent that aggers v. bridges, supra, and state v. parks, supra, are inconsistent with this holding, they are hereby overruled.
Question: Is it overruling?
Answer:",Yes
"Context: to the extent our previous decisions in duckett, tate, lovelady, and andrews are in conflict with this decision, they are expressly overruled.
Question: Is it overruling?
Answer:",Yes
"Context: we disapprove the decision in mierzwa.
Question: Is it overruling?
Answer:",Yes
"Context: to the extent that delaney suggests otherwise, it is disapproved.
Question: Is it overruling?
Answer:",Yes
"Context: we agree with clements and the court of special appeals that cjp  12-302(c) does not authorize the state's appeal in this case.
Question: Is it overruling?
Answer:",No
"Context: j.a. 9013, 9072-73.
Question: Is it overruling?
Answer:",No
"Context: the court's decision to abandon durham-mcdonald in favor of ali- mcdonald does nothing to obsolete these questions or the court's responses to them.
Question: Is it overruling?
Answer:",Yes
"Context: we consider this opinion en banc in order to clarify our opinion in clark v. state.
Question: Is it overruling?
Answer:",Yes
"Context: see minn. r. evid. 801(d)(1)(b) (""""a statement is not hearsay if . . . [t]he declarant testifies at the trial or hearing and is subject to cross-examination concerning the statement, and the statement is . . . consistent with the declarant's testimony and helpful to the trier of fact in  evaluating the declarant's credibility as a witness."""").
Question: Is it overruling?
Answer:",No
"Context: note: martin v. szeto is the current case, therefore not overruled.
Question: Is it overruling?
Answer:",Yes
"Context: we agree with the district court that the political question doctrine bars the servicemembers' suit. therefore, we need not reach the ftca preemption issue.
Question: Is it overruling?
Answer:",No
"Context: the district court considered multiple factors, and the risk assessment information was not determinative.
Question: Is it overruling?
Answer:",No
"Context: stale information cannot be used to establish probable cause.
Question: Is it overruling?
Answer:",No
"Context: accordingly, we approve the fifth district's decision below, and disapprove robbins v. yusem to the extent it is inconsistent with this opinion.
Question: Is it overruling?
Answer:",Yes
"Context: ##note: people v. davis was affirmed not overruled.
Question: Is it overruling?
Answer:",Yes
"Context: consequently, w e disapprove the decision in state v. falcon 556 so.2d 762 (fla. 2d dca 1990), which, contrary to ferrair, held that section 713.34 (3), florida statutes (1985), created an unconstitutional mandatory presumption.
Question: Is it overruling?
Answer:",Yes
"Context: the issue of preservation of a challenge to a jury instruction has developed over time in this commonwealth.
Question: Is it overruling?
Answer:",No
"Context: stowers had a full and fair opportunity to litigate his contempt in those proceedings, all the way through appeal to our court.
Question: Is it overruling?
Answer:",No
"Context: as i explained previously in this opinion, the majority opinion relies on the exercise of its supervisory authority and, to the extent it may be interpreted as holding contrary to the majority opinion, overrules chyung v. chyung, supra, 86 conn.app. at 665, 862 a.2d 374, the case on which the appellate court relied.
Question: Is it overruling?
Answer:",Yes
"Context: we therefore overrule clouthier to the extent that it identified a single deliberate indifference standard for all  1983 claims and to the extent that it required a plaintiff to prove an individual defendant's subjective intent to punish in the context of a pretrial detainee's failure-to-protect claim.
Question: Is it overruling?
Answer:",Yes
"Context: unlike the situation where there is no forum-selection clause, the plaintiff """"must bear the burden of showing why the court should not transfer the case to the forum to which the parties agreed.""""
Question: Is it overruling?
Answer:",No
"Context: in any event, to the extent lee suggested that the statute authorizes the state to conduct ex parte interrogations after charges have been brought, that case is disapproved.
Question: Is it overruling?
Answer:",Yes
"Context: lack of a sua sponte self-defense instruction.
Question: Is it overruling?
Answer:",No
"Context: to the extent mccoy and mccracken implied that the only right to counsel under the act was a statutory one, they are hereby modified.
Question: Is it overruling?
Answer:",Yes
"Context: we reverse and remand for further proceedings not inconsistent with this opinion.
Question: Is it overruling?
Answer:",No
"Context: consequently, to the extent that miller or perez can still be read as authority for overlooking a party's failure to make a timely and specific objection to the admission of evidence at trial and subsequently preserve the issue for appellate review by including it in a 1925(b) statement to which the trial court responds, their rationale for overlooking waiver is disavowed.
Question: Is it overruling?
Answer:",Yes
"Context: the contrary conclusion of some lower courts rests on the following logic: the term ""information"" in subparagraph (b) must be read in tandem with the term ""information"" in sub-paragraph (a), and the term ""information"" in subparagraph (a) refers to the information on which the publicly disclosed allegations are based.
Question: Is it overruling?
Answer:",Yes
"Context: we now recede from the language in blacker stating that a minimum mandatory sentence cannot be imposed upon a defendant, initially sentenced as a youthful offender, who later substantively violates probation or community control.
Question: Is it overruling?
Answer:",Yes
"Context: dr. hunter used the minnesota multiphasic personality inventory-2 to diagnose stacie with """"major depressive disorder, recurrent, moderate.""""
Question: Is it overruling?
Answer:",No
"Context: to the extent that these decisions may support the proposition for which they are here cited, i.e., that a final rejection of claims in a parent application for lack of supporting disclosure therein is res judicata upon the question of whether different claims, rejected on a different basis in a continuation application, are entitled under the conditions specified in 35 u.s.c.  120 to the benefit of the earlier filing date of the parent application, they are expressly overruled.
Question: Is it overruling?
Answer:",Yes
"Context: accordingly, to the extent crawford and abrams may be read to require the assistance of counsel during an initial summary proceeding where a defendant is found guilty of direct criminal contempt, prior to separate proceedings where the defendant is actually sentenced to imprisonment, those cases are expressly disapproved.
Question: Is it overruling?
Answer:",Yes
"Context: we also have determined that the doctrine of legislative acquiescence in the wake of that decision does not command us, or persuade us, to adhere to that rule.
Question: Is it overruling?
Answer:",Yes
"Context: the court's decision today overrules a fundamental holding in conkle.
Question: Is it overruling?
Answer:",Yes
"Context: because the decision arguably departs from this circuit's prior decision in united states ex rel. starr v. mulligan, 59 f.2d 200 (2d cir. 1932), and explicitly overrules united states v. brothman, 191 f.2d 70 (2d cir. 1951), this opinion has been circulated among the active members of the court.
Question: Is it overruling?
Answer:",Yes
"Context: summary judgment may be granted only when there are no genuine issues of material fact to be litigated, and the moving party is entitled to judgment as a matter of   law.
Question: Is it overruling?
Answer:",No
"Context: schweiker v. hansen, 450 u. s. 785, 791 (1981) (marshall, j., dissenting).
Question: Is it overruling?
Answer:",No
"Context: """" 'a contract entered into by a local government without legal  authority is """"wholly void,"""" ultra vires, and unenforceable.'
Question: Is it overruling?
Answer:",No
"Context: nor does simply having not yet had occasion to exercise one's authority under a power of attorney equate to a declination to serve.
Question: Is it overruling?
Answer:",No
"Context: to the extent that in re mapes, d.c. s.d.cal. 1954, 120 f. supp. 316, is inconsistent with this holding, it is hereby overruled.
Question: Is it overruling?
Answer:",Yes
"Context: cases such as people v. stathos, supra, 17 cal.app.3d 33, are disapproved insofar as they are inconsistent with the views expressed herein.
Question: Is it overruling?
Answer:",Yes
"Context: accordingly, we hereby recede from the statement referred to above in barr v. state, supra, and the judgment and sentence for contempt is
Question: Is it overruling?
Answer:",Yes
"Context: nabors drilling, u.s.a., inc. v. escoto, 288 s.w.3d 401, 404 (tex. 2009).
Question: Is it overruling?
Answer:",No
"Context: this court's prior holding in atoka, inc. v. thornton, 566 s.w.2d 686 (tex.civ.app.  eastland 1978, no writ), is expressly overruled insofar as it holds that an order of dismissal for want of prosecution also disposes of the cross action by implication.
Question: Is it overruling?
Answer:",Yes
"Context: in light of the unmistakable language in lincoln savings loan that ""the presence of an ensuing benefit ... is not controlling,"" we conclude that such parts of richmond television, darlington-huntsville, and georator as may be interpreted as establishing a one-year standard for distinguishing between capital and current costs, are no longer authoritative.
Question: Is it overruling?
Answer:",Yes
